no,fetch,update,vm_id,vm_name,cpu_usage,max_cpu,mem_usage,max_mem,cum_netin,cum_netout,rate_netin,rate_netout,bw_usage,max_bw,score,priority,unix_timestamp,timestamp
44,11,1,202,laos-2,0.669115343324413,1,0.8555679321289062,1073741824,309830130,7646240469,63411.73746894646,1820537.4940434261,0.1507159385209898,12500000,1.675399213974309,1,1750576566,2025-06-22 14:16:06
45,12,1,203,laos-3,0.819107812972652,1,0.8609504699707031,1073741824,311273769,7621696815,82254.94406103404,2306638.604481913,0.19111148388343577,12500000,1.871169766826791,4,1750576567,2025-06-22 14:16:07
46,12,1,204,laos-4,0.740388360816839,1,0.8572006225585938,1073741824,310094365,7638183262,72984.14599510182,2024587.2102456703,0.16780570849926177,12500000,1.7653946918746943,2,1750576567,2025-06-22 14:16:07
47,12,1,201,laos-1,0.811661378309264,1,0.8486976623535156,1073741824,330737475,7703247553,85851.92806813939,2442338.177377298,0.20225520843563502,12500000,1.8626142490984146,3,1750576567,2025-06-22 14:16:07
48,12,1,202,laos-2,0.669115343324413,1,0.8555679321289062,1073741824,309830130,7646240469,63411.73746894646,1820537.4940434261,0.1507159385209898,12500000,1.675399213974309,1,1750576567,2025-06-22 14:16:07
49,13,1,202,laos-2,0.669115343324413,1,0.8555679321289062,1073741824,309830130,7646240469,63411.73746894646,1820537.4940434261,0.1507159385209898,12500000,1.675399213974309,1,1750576568,2025-06-22 14:16:08
50,13,1,203,laos-3,0.819107812972652,1,0.8609504699707031,1073741824,311273769,7621696815,82254.94406103404,2306638.604481913,0.19111148388343577,12500000,1.871169766826791,4,1750576568,2025-06-22 14:16:08
51,13,1,204,laos-4,0.740388360816839,1,0.8572006225585938,1073741824,310094365,7638183262,72984.14599510182,2024587.2102456703,0.16780570849926177,12500000,1.7653946918746943,2,1750576568,2025-06-22 14:16:08
52,13,1,201,laos-1,0.811661378309264,1,0.8486976623535156,1073741824,330737475,7703247553,85851.92806813939,2442338.177377298,0.20225520843563502,12500000,1.8626142490984146,3,1750576568,2025-06-22 14:16:08
53,14,1,201,laos-1,0.811661378309264,1,0.8486976623535156,1073741824,330737475,7703247553,85851.92806813939,2442338.177377298,0.20225520843563502,12500000,1.8626142490984146,3,1750576570,2025-06-22 14:16:10
54,14,1,202,laos-2,0.669115343324413,1,0.8555679321289062,1073741824,309830130,7646240469,63411.73746894646,1820537.4940434261,0.1507159385209898,12500000,1.675399213974309,1,1750576570,2025-06-22 14:16:10
55,14,1,203,laos-3,0.819107812972652,1,0.8609504699707031,1073741824,311273769,7621696815,82254.94406103404,2306638.604481913,0.19111148388343577,12500000,1.871169766826791,4,1750576570,2025-06-22 14:16:10
56,14,1,204,laos-4,0.740388360816839,1,0.8572006225585938,1073741824,310094365,7638183262,72984.14599510182,2024587.2102456703,0.16780570849926177,12500000,1.7653946918746943,2,1750576570,2025-06-22 14:16:10
57,15,1,204,laos-4,0.740388360816839,1,0.8572006225585938,1073741824,310094365,7638183262,72984.14599510182,2024587.2102456703,0.16780570849926177,12500000,1.7653946918746943,2,1750576571,2025-06-22 14:16:11
58,15,1,201,laos-1,0.811661378309264,1,0.8486976623535156,1073741824,330737475,7703247553,85851.92806813939,2442338.177377298,0.20225520843563502,12500000,1.8626142490984146,3,1750576571,2025-06-22 14:16:11
59,15,1,202,laos-2,0.669115343324413,1,0.8555679321289062,1073741824,309830130,7646240469,63411.73746894646,1820537.4940434261,0.1507159385209898,12500000,1.675399213974309,1,1750576571,2025-06-22 14:16:11
60,15,1,203,laos-3,0.819107812972652,1,0.8609504699707031,1073741824,311273769,7621696815,82254.94406103404,2306638.604481913,0.19111148388343577,12500000,1.871169766826791,4,1750576571,2025-06-22 14:16:11
61,16,1,201,laos-1,0.811661378309264,1,0.8486976623535156,1073741824,330737475,7703247553,85851.92806813939,2442338.177377298,0.20225520843563502,12500000,1.8626142490984146,3,1750576572,2025-06-22 14:16:12
62,16,1,202,laos-2,0.669115343324413,1,0.8555679321289062,1073741824,309830130,7646240469,63411.73746894646,1820537.4940434261,0.1507159385209898,12500000,1.675399213974309,1,1750576572,2025-06-22 14:16:12
63,16,1,203,laos-3,0.819107812972652,1,0.8609504699707031,1073741824,311273769,7621696815,82254.94406103404,2306638.604481913,0.19111148388343577,12500000,1.871169766826791,4,1750576572,2025-06-22 14:16:12
64,16,1,204,laos-4,0.740388360816839,1,0.8572006225585938,1073741824,310094365,7638183262,72984.14599510182,2024587.2102456703,0.16780570849926177,12500000,1.7653946918746943,2,1750576572,2025-06-22 14:16:12
65,17,1,201,laos-1,0.811661378309264,1,0.8486976623535156,1073741824,330737475,7703247553,85851.92806813939,2442338.177377298,0.20225520843563502,12500000,1.8626142490984146,3,1750576573,2025-06-22 14:16:13
66,17,1,202,laos-2,0.669115343324413,1,0.8555679321289062,1073741824,309830130,7646240469,63411.73746894646,1820537.4940434261,0.1507159385209898,12500000,1.675399213974309,1,1750576573,2025-06-22 14:16:13
67,17,1,203,laos-3,0.819107812972652,1,0.8609504699707031,1073741824,311273769,7621696815,82254.94406103404,2306638.604481913,0.19111148388343577,12500000,1.871169766826791,4,1750576573,2025-06-22 14:16:13
68,17,1,204,laos-4,0.740388360816839,1,0.8572006225585938,1073741824,310094365,7638183262,72984.14599510182,2024587.2102456703,0.16780570849926177,12500000,1.7653946918746943,2,1750576573,2025-06-22 14:16:13
69,18,2,203,laos-3,0.819107812972652,1,0.8609504699707031,1073741824,311273769,7621696815,82254.94406103404,2306638.604481913,0.19111148388343577,12500000,1.871169766826791,2,1750576574,2025-06-22 14:16:14
70,18,2,204,laos-4,0.740388360816839,1,0.8572006225585938,1073741824,310094365,7638183262,72984.14599510182,2024587.2102456703,0.16780570849926177,12500000,1.7653946918746943,1,1750576574,2025-06-22 14:16:14
71,18,2,201,laos-1,0.950110663022445,1,0.8506126403808594,1073741824,330848772,7706221331,103280.48255278372,2759582.260481883,0.22902901944277332,12500000,2.0297523228460777,4,1750576574,2025-06-22 14:16:14
72,18,2,202,laos-2,0.934181786028972,1,0.8603477478027344,1073741824,309941329,7649277557,103189.54131186823,2818332.1580569902,0.2337217359495087,12500000,2.0282512697812147,3,1750576574,2025-06-22 14:16:14
73,19,2,201,laos-1,0.950110663022445,1,0.8506126403808594,1073741824,330848772,7706221331,103280.48255278372,2759582.260481883,0.22902901944277332,12500000,2.0297523228460777,4,1750576575,2025-06-22 14:16:15
74,19,2,202,laos-2,0.934181786028972,1,0.8603477478027344,1073741824,309941329,7649277557,103189.54131186823,2818332.1580569902,0.2337217359495087,12500000,2.0282512697812147,3,1750576575,2025-06-22 14:16:15
75,19,2,203,laos-3,0.819107812972652,1,0.8609504699707031,1073741824,311273769,7621696815,82254.94406103404,2306638.604481913,0.19111148388343577,12500000,1.871169766826791,2,1750576575,2025-06-22 14:16:15
76,19,2,204,laos-4,0.740388360816839,1,0.8572006225585938,1073741824,310094365,7638183262,72984.14599510182,2024587.2102456703,0.16780570849926177,12500000,1.7653946918746943,1,1750576575,2025-06-22 14:16:15
77,20,3,204,laos-4,0.963228561722952,1,0.8576812744140625,1073741824,310211941,7641498999,109368.50608216741,3084279.123727355,0.2554918103847618,12500000,2.0764016465217763,4,1750576576,2025-06-22 14:16:16
78,20,3,201,laos-1,0.950110663022445,1,0.8506126403808594,1073741824,330848772,7706221331,103280.48255278372,2759582.260481883,0.22902901944277332,12500000,2.0297523228460777,3,1750576576,2025-06-22 14:16:16
79,20,3,202,laos-2,0.934181786028972,1,0.8603477478027344,1073741824,309941329,7649277557,103189.54131186823,2818332.1580569902,0.2337217359495087,12500000,2.0282512697812147,2,1750576576,2025-06-22 14:16:16
80,20,3,203,laos-3,0.891080118870162,1,0.864288330078125,1073741824,311381374,7624742182,100093.54032261366,2832782.534377185,0.2346300859759839,12500000,1.989998534924271,1,1750576576,2025-06-22 14:16:16
81,21,3,203,laos-3,0.891080118870162,1,0.864288330078125,1073741824,311381374,7624742182,100093.54032261366,2832782.534377185,0.2346300859759839,12500000,1.989998534924271,1,1750576577,2025-06-22 14:16:17
82,21,3,204,laos-4,0.963228561722952,1,0.8576812744140625,1073741824,310211941,7641498999,109368.50608216741,3084279.123727355,0.2554918103847618,12500000,2.0764016465217763,4,1750576577,2025-06-22 14:16:17
83,21,3,201,laos-1,0.950110663022445,1,0.8506126403808594,1073741824,330848772,7706221331,103280.48255278372,2759582.260481883,0.22902901944277332,12500000,2.0297523228460777,3,1750576577,2025-06-22 14:16:17
84,21,3,202,laos-2,0.934181786028972,1,0.8603477478027344,1073741824,309941329,7649277557,103189.54131186823,2818332.1580569902,0.2337217359495087,12500000,2.0282512697812147,2,1750576577,2025-06-22 14:16:17
85,22,3,201,laos-1,0.950110663022445,1,0.8506126403808594,1073741824,330848772,7706221331,103280.48255278372,2759582.260481883,0.22902901944277332,12500000,2.0297523228460777,3,1750576578,2025-06-22 14:16:18
86,22,3,202,laos-2,0.934181786028972,1,0.8603477478027344,1073741824,309941329,7649277557,103189.54131186823,2818332.1580569902,0.2337217359495087,12500000,2.0282512697812147,2,1750576578,2025-06-22 14:16:18
87,22,3,203,laos-3,0.891080118870162,1,0.864288330078125,1073741824,311381374,7624742182,100093.54032261366,2832782.534377185,0.2346300859759839,12500000,1.989998534924271,1,1750576578,2025-06-22 14:16:18
88,22,3,204,laos-4,0.963228561722952,1,0.8576812744140625,1073741824,310211941,7641498999,109368.50608216741,3084279.123727355,0.2554918103847618,12500000,2.0764016465217763,4,1750576578,2025-06-22 14:16:18
89,23,3,201,laos-1,0.950110663022445,1,0.8506126403808594,1073741824,330848772,7706221331,103280.48255278372,2759582.260481883,0.22902901944277332,12500000,2.0297523228460777,3,1750576579,2025-06-22 14:16:19
90,23,3,202,laos-2,0.934181786028972,1,0.8603477478027344,1073741824,309941329,7649277557,103189.54131186823,2818332.1580569902,0.2337217359495087,12500000,2.0282512697812147,2,1750576579,2025-06-22 14:16:19
91,23,3,203,laos-3,0.891080118870162,1,0.864288330078125,1073741824,311381374,7624742182,100093.54032261366,2832782.534377185,0.2346300859759839,12500000,1.989998534924271,1,1750576579,2025-06-22 14:16:19
92,23,3,204,laos-4,0.963228561722952,1,0.8576812744140625,1073741824,310211941,7641498999,109368.50608216741,3084279.123727355,0.2554918103847618,12500000,2.0764016465217763,4,1750576579,2025-06-22 14:16:19
93,24,3,204,laos-4,0.963228561722952,1,0.8576812744140625,1073741824,310211941,7641498999,109368.50608216741,3084279.123727355,0.2554918103847618,12500000,2.0764016465217763,4,1750576580,2025-06-22 14:16:20
94,24,3,201,laos-1,0.950110663022445,1,0.8506126403808594,1073741824,330848772,7706221331,103280.48255278372,2759582.260481883,0.22902901944277332,12500000,2.0297523228460777,3,1750576580,2025-06-22 14:16:20
95,24,3,202,laos-2,0.934181786028972,1,0.8603477478027344,1073741824,309941329,7649277557,103189.54131186823,2818332.1580569902,0.2337217359495087,12500000,2.0282512697812147,2,1750576580,2025-06-22 14:16:20
96,24,3,203,laos-3,0.891080118870162,1,0.864288330078125,1073741824,311381374,7624742182,100093.54032261366,2832782.534377185,0.2346300859759839,12500000,1.989998534924271,1,1750576580,2025-06-22 14:16:20
97,25,3,201,laos-1,0.950110663022445,1,0.8506126403808594,1073741824,330848772,7706221331,103280.48255278372,2759582.260481883,0.22902901944277332,12500000,2.0297523228460777,3,1750576581,2025-06-22 14:16:21
98,25,3,202,laos-2,0.934181786028972,1,0.8603477478027344,1073741824,309941329,7649277557,103189.54131186823,2818332.1580569902,0.2337217359495087,12500000,2.0282512697812147,2,1750576581,2025-06-22 14:16:21
99,25,3,203,laos-3,0.891080118870162,1,0.864288330078125,1073741824,311381374,7624742182,100093.54032261366,2832782.534377185,0.2346300859759839,12500000,1.989998534924271,1,1750576581,2025-06-22 14:16:21
100,25,3,204,laos-4,0.963228561722952,1,0.8576812744140625,1073741824,310211941,7641498999,109368.50608216741,3084279.123727355,0.2554918103847618,12500000,2.0764016465217763,4,1750576581,2025-06-22 14:16:21
101,26,3,201,laos-1,0.950110663022445,1,0.8506126403808594,1073741824,330848772,7706221331,103280.48255278372,2759582.260481883,0.22902901944277332,12500000,2.0297523228460777,3,1750576582,2025-06-22 14:16:22
102,26,3,202,laos-2,0.934181786028972,1,0.8603477478027344,1073741824,309941329,7649277557,103189.54131186823,2818332.1580569902,0.2337217359495087,12500000,2.0282512697812147,2,1750576582,2025-06-22 14:16:22
103,26,3,203,laos-3,0.891080118870162,1,0.864288330078125,1073741824,311381374,7624742182,100093.54032261366,2832782.534377185,0.2346300859759839,12500000,1.989998534924271,1,1750576582,2025-06-22 14:16:22
104,26,3,204,laos-4,0.963228561722952,1,0.8576812744140625,1073741824,310211941,7641498999,109368.50608216741,3084279.123727355,0.2554918103847618,12500000,2.0764016465217763,4,1750576582,2025-06-22 14:16:22
105,27,4,201,laos-1,0.892807692121021,1,0.8513336181640625,1073741824,330943505,7708806821,87974.94098352738,2401046.4163860558,0.19912170858956665,12500000,1.94326301887465,1,1750576584,2025-06-22 14:16:24
106,27,4,202,laos-2,0.932074697098566,1,0.8610725402832031,1073741824,310041104,7652035076,92657.25498645082,2560803.2183711636,0.21227683786860918,12500000,2.0054240752503785,3,1750576584,2025-06-22 14:16:24
107,27,4,203,laos-3,0.943441461697329,1,0.8657302856445312,1073741824,311483887,7627571342,95199.9316504739,2627333.495539636,0.21780267417520877,12500000,2.026974421517069,4,1750576584,2025-06-22 14:16:24
108,27,4,204,laos-4,0.892807692121021,1,0.8566932678222656,1073741824,310311399,7644184738,92362.86911994412,2494143.8571792077,0.20692053810393216,12500000,1.9564214980472185,2,1750576584,2025-06-22 14:16:24
109,28,4,203,laos-3,0.943441461697329,1,0.8657302856445312,1073741824,311483887,7627571342,95199.9316504739,2627333.495539636,0.21780267417520877,12500000,2.026974421517069,4,1750576585,2025-06-22 14:16:25
110,28,4,204,laos-4,0.892807692121021,1,0.8566932678222656,1073741824,310311399,7644184738,92362.86911994412,2494143.8571792077,0.20692053810393216,12500000,1.9564214980472185,2,1750576585,2025-06-22 14:16:25
111,28,4,201,laos-1,0.892807692121021,1,0.8513336181640625,1073741824,330943505,7708806821,87974.94098352738,2401046.4163860558,0.19912170858956665,12500000,1.94326301887465,1,1750576585,2025-06-22 14:16:25
112,28,4,202,laos-2,0.932074697098566,1,0.8610725402832031,1073741824,310041104,7652035076,92657.25498645082,2560803.2183711636,0.21227683786860918,12500000,2.0054240752503785,3,1750576585,2025-06-22 14:16:25
